timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1705823796.786384,11,188.114.215.135234010.0.0.21806,188.114.215.135,2340,10.0.0.21,80,6,-1,-1,8,619000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,188.232.194.214229110.0.0.21806,188.232.194.214,2291,10.0.0.21,80,6,-1,-1,8,81000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,188.255.8.73228910.0.0.21806,188.255.8.73,2289,10.0.0.21,80,6,-1,-1,8,81000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,190.124.30.155228310.0.0.21806,190.124.30.155,2283,10.0.0.21,80,6,-1,-1,8,110000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,191.166.7.244218910.0.0.21806,191.166.7.244,2189,10.0.0.21,80,6,-1,-1,8,309000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,194.153.133.26206610.0.0.21806,194.153.133.26,2066,10.0.0.21,80,6,-1,-1,8,30000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,194.60.253.195216810.0.0.21806,194.60.253.195,2168,10.0.0.21,80,6,-1,-1,8,355000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,194.7.7.225212410.0.0.21806,194.7.7.225,2124,10.0.0.21,80,6,-1,-1,8,447000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,198.215.214.24234310.0.0.21806,198.215.214.24,2343,10.0.0.21,80,6,-1,-1,8,619000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,199.126.188.108211510.0.0.21806,199.126.188.108,2115,10.0.0.21,80,6,-1,-1,8,481000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,20.32.143.112229710.0.0.21806,20.32.143.112,2297,10.0.0.21,80,6,-1,-1,8,533000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,200.215.107.130219910.0.0.21806,200.215.107.130,2199,10.0.0.21,80,6,-1,-1,8,286000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,200.40.33.24212210.0.0.21806,200.40.33.24,2122,10.0.0.21,80,6,-1,-1,8,447000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,201.209.11.110218810.0.0.21806,201.209.11.110,2188,10.0.0.21,80,6,-1,-1,8,309000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,202.181.246.195235310.0.0.21806,202.181.246.195,2353,10.0.0.21,80,6,-1,-1,8,607000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,202.31.188.85214510.0.0.21806,202.31.188.85,2145,10.0.0.21,80,6,-1,-1,8,398000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,202.69.7.7236710.0.0.21806,202.69.7.7,2367,10.0.0.21,80,6,-1,-1,8,557000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
